Gene name	Synonym	Accession number	Functional category	Description
argR	<I>ahrC</I>, <I>Rv1657</I>	Rv1657	9	Probable Arginine repressor argR (AHRC)
cmtR	<I>Rv1994c</I>	Rv1994c	9	Metal sensor transcriptional regulator (ArsR-SmtB family)
devR	<I>dosR</I>, <I>Rv3133c</I>	Rv3133c	9	TWO COMPONENT TRANSCRIPTIONAL REGULATORY PROTEIN DEVR (PROBABLY LUXR/UHPA-FAMILY)
devS	<I>dosS</I>, <I>Rv3132c</I>	Rv3132c	9	TWO COMPONENT SENSOR HISTIDINE KINASE DEVS
dosT	<I>Rv2027c</I>	Rv2027c	9	TWO COMPONENT SENSOR HISTIDINE KINASE
embR	<I>Rv1267c</I>	Rv1267c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN EMBR
ethR	<I>aka</I>, <I>etaR</I>, <I>Rv3855</I>	Rv3855	9	TRANSCRIPTIONAL REGULATORY REPRESSOR PROTEIN (TETR-FAMILY) ETHR
fhaA	<I>Rv0020c</I>	Rv0020c	9	CONSERVED HYPOTHETICAL PROTEIN WITH FHA DOMAIN, TB39.8
fhaB	<I>Rv0019c</I>	Rv0019c	9	CONSERVED PROTEIN WITH FHA DOMAIN
furA	<I>Rv1909c</I>	Rv1909c	9	FERRIC UPTAKE REGULATION PROTEIN FURA (FUR)
furB	<I>Rv2359</I>	Rv2359	9	PROBABLE FERRIC UPTAKE REGULATION PROTEIN FURB
glnB	<I>Rv2919c</I>	Rv2919c	9	PROBABLE NITROGEN REGULATORY PROTEIN P-II GLNB
ideR	<I>dtxR</I>, <I>Rv2711</I>	Rv2711	9	IRON-DEPENDENT REPRESSOR AND ACTIVATOR IDER
kdpD	<I>Rv1028c</I>	Rv1028c	9	PROBABLE SENSOR PROTEIN KDPD
kdpE	<I>Rv1027c</I>	Rv1027c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN KDPE
lexA	<I>Rv2720</I>	Rv2720	9	REPRESSOR LEXA
mce3R	<I>Rv1963c</I>	Rv1963c	9	PROBABLE TRANSCRIPTIONAL REPRESSOR (PROBABLY TETR-FAMILY) MCE3R
moxR1	<I>moxR</I>, <I>Rv1479</I>	Rv1479	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN MOXR1
moxR2	<I>Rv3692</I>	Rv3692	9	PROBABLE METHANOL DEHYDROGENASE TRANSCRIPTIONAL REGULATORY PROTEIN MOXR2
moxR3	<I>Rv3164c</I>	Rv3164c	9	PROBABLE METHANOL DEHYDROGENASE TRANSCRIPTIONAL REGULATORY PROTEIN MOXR3
mprA	<I>Rv0981</I>	Rv0981	9	MYCOBACTERIAL PERSISTENCE REGULATOR MRPA (TWO COMPONENT RESPONSE TRANSCRIPTIONAL REGULATORY PROTEIN)
mprB	<I>Rv0982</I>	Rv0982	9	TWO COMPONENT SENSOR KINASE MPRB
