Gene name	Synonym	Accession number	Functional category	Description
amt	<I>Rv2920c</I>	Rv2920c	3	PROBABLE AMMONIUM-TRANSPORT INTEGRAL MEMBRANE PROTEIN AMT
ansP1	<I>Rv2127</I>	Rv2127	3	Probable L-asparagine permease ansP1
ansP2	<I>aroP2</I>, <I>Rv0346c</I>	Rv0346c	3	POSSIBLE L-ASPARAGINE PERMEASE ANSP2 (L-ASPARAGINE TRANSPORT PROTEIN)
apa	<I>mpt32</I>, <I>modD</I>, <I>Rv1860</I>	Rv1860	3	ALANINE AND PROLINE RICH SECRETED PROTEIN APA (FIBRONECTIN ATTACHMENT PROTEIN) (Immunogenic protein MPT32) (Antigen MPT-32) (45-kDa glycoprotein) (45/47 kDa antigen)
arsA	<I>Rv2684</I>	Rv2684	3	PROBABLE ARSENIC-TRANSPORT INTEGRAL MEMBRANE PROTEIN ARSA
arsB1	<I>arsB</I>, <I>Rv2685</I>	Rv2685	3	PROBABLE ARSENIC-TRANSPORT INTEGRAL MEMBRANE PROTEIN ARSB1
arsB2	<I>Rv3578</I>	Rv3578	3	POSSIBLE ARSENICAL PUMP INTEGRAL MEMBRANE PROTEIN ARSB2
arsC	<I>Rv2643</I>	Rv2643	3	PROBABLE ARSENIC-TRANSPORT INTEGRAL MEMBRANE PROTEIN ARSC
betP	<I>Rv0917</I>	Rv0917	3	POSSIBLE GLYCINE BETAINE TRANSPORT INTEGRAL MEMBRANE PROTEIN BETP
ceoB	<I>trkA</I>, <I>Rv2691</I>	Rv2691	3	TRK SYSTEM POTASSIUM UPTAKE PROTEIN CEOB
ceoC	<I>trkA</I>, <I>trkB</I>, <I>Rv2692</I>	Rv2692	3	TRK SYSTEM POTASSIUM UPTAKE PROTEIN CEOC
cfp2	<I>mtb12</I>, <I>Rv2376c</I>	Rv2376c	3	LOW MOLECULAR WEIGHT ANTIGEN CFP2 (LOW MOLECULAR WEIGHT PROTEIN ANTIGEN 2) (CFP-2)
cfp21	<I>Rv1984c</I>	Rv1984c	3	PROBABLE CUTINASE PRECURSOR CFP21
cfp6	<I>Rv3004</I>	Rv3004	3	LOW MOLECULAR WEIGHT PROTEIN ANTIGEN 6 (CFP-6)
chaA	<I>Rv1607</I>	Rv1607	3	Probable ionic transporter integral membrane protein chaA
