Gene name	Synonym	Accession number	Functional category	Description
alaS	<I>Rv2555c</I>	Rv2555c	2	PROBABLE ALANYL-TRNA SYNTHETASE ALAS (ALANINE--TRNA LIGASE) (ALANINE TRANSLASE) (ALARS)
alkA	<I>ada</I>, <I>Rv1317c</I>	Rv1317c	2	PROBABLE ADA REGULATORY PROTEIN ALKA (Regulatory protein of adaptative response) (Methylated-DNA--protein-cysteine methyltransferase) (O-6-methylguanine-DNA alkyltransferase) (O-6-methylguanine-DNA methyltransferase) (3-methyladenine DNA glycosylase II)
argS	<I>Rv1292</I>	Rv1292	2	PROBABLE ARGINYL-TRNA SYNTHETASE ARGS (ARGRS) (Arginine--tRNA ligase)
aspS	<I>Rv2572c</I>	Rv2572c	2	PROBABLE ASPARTYL-TRNA SYNTHETASE ASPS (ASPARTATE--TRNA LIGASE) (ASPRS) (ASPARTIC ACID TRANSLASE)
cysS1	<I>Rv3580c</I>	Rv3580c	2	CYSTEINYL-TRNA SYNTHETASE 1 CYSS1 (CYSTEINE--TRNA LIGASE 1) (CYSRS 1) (CYSTEINE TRANSLASE)
deaD	<I>Rv1253</I>	Rv1253	2	PROBABLE COLD-SHOCK DEAD-BOX PROTEIN A HOMOLOG DEAD (ATP-dependent RNA helicase deaD homolog)
def	<I>Rv0429c</I>	Rv0429c	2	PROBABLE POLYPEPTIDE DEFORMYLASE DEF (PDF) (FORMYLMETHIONINE DEFORMYLASE)
dinF	<I>Rv2836c</I>	Rv2836c	2	POSSIBLE DNA-DAMAGE-INDUCIBLE PROTEIN F DINF
dinG	<I>Rv1329c</I>	Rv1329c	2	PROBABLE ATP-DEPENDENT HELICASE DING
dinP	<I>dinB2</I>, <I>Rv3056</I>	Rv3056	2	POSSIBLE DNA-DAMAGE-INDUCIBLE PROTEIN P DINP (DNA POLYMERASE V) (POL IV 2) (DNA NUCLEOTIDYLTRANSFERASE (DNA-DIRECTED))
dinX	<I>dinB1</I>, <I>Rv1537</I>	Rv1537	2	PROBABLE DNA POLYMERASE IV DINX (POL IV 1) (DNA NUCLEOTIDYLTRANSFERASE (DNA-DIRECTED))
dnaA	<I>Rv0001</I>	Rv0001	2	CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA
dnaB	<I>Rv0058</I>	Rv0058	2	PROBABLE REPLICATIVE DNA HELICASE DNAB
dnaE1	<I>Rv1547</I>	Rv1547	2	PROBABLE DNA POLYMERASE III (ALPHA CHAIN) DNAE1 (DNA NUCLEOTIDYLTRANSFERASE)
dnaE2	<I>Rv3370c</I>	Rv3370c	2	PROBABLE DNA POLYMERASE III (ALPHA CHAIN) DNAE2 (DNA NUCLEOTIDYLTRANSFERASE)
dnaG	<I>Rv2343c</I>	Rv2343c	2	PROBABLE DNA PRIMASE DNAG
dnaN	<I>Rv0002</I>	Rv0002	2	DNA POLYMERASE III (BETA CHAIN) DNAN (DNA NUCLEOTIDYLTRANSFERASE)
dnaQ	<I>Rv3711c</I>	Rv3711c	2	PROBABLE DNA POLYMERASE III (EPSILON SUBUNIT) DNAQ
dnaZX	<I>Rv3721c</I>	Rv3721c	2	DNA POLYMERASE III (SUBUNIT GAMMA/TAU) DNAZ/X
efp	<I>Rv2534c</I>	Rv2534c	2	PROBABLE ELONGATION FACTOR P EFP
end	<I>nfo</I>, <I>Rv0670</I>	Rv0670	2	PROBABLE ENDONUCLEASE IV END (ENDODEOXYRIBONUCLEASE IV) (APURINASE)
ercc3	<I>Rv0861c</I>	Rv0861c	2	PROBABLE DNA HELICASE ERCC3
fmt	<I>Rv1406</I>	Rv1406	2	PROBABLE METHIONYL-TRNA FORMYLTRANSFERASE FMT
fmu	<I>Rv1407</I>	Rv1407	2	PROBABLE FMU PROTEIN (SUN PROTEIN)
fpg	<I>mutM</I>, <I>Rv2924c</I>	Rv2924c	2	PROBABLE FORMAMIDOPYRIMIDINE-DNA GLYCOSYLASE FPG (FAPY-DNA GLYCOSYLASE)
frr	<I>Rv2882c</I>	Rv2882c	2	RIBOSOME RECYCLING FACTOR FRR (RIBOSOME RELEASING FACTOR) (RRF)
fusA1	<I>fusA</I>, <I>Rv0684</I>	Rv0684	2	PROBABLE ELONGATION FACTOR G FUSA1 (EF-G)
fusA2	<I>fus2</I>, <I>Rv0120c</I>	Rv0120c	2	PROBABLE ELONGATION FACTOR G FUSA2 (EF-G)
gatA	<I>Rv3011c</I>	Rv3011c	2	PROBABLE GLUTAMYL-TRNA(GLN) AMIDOTRANSFERASE (SUBUNIT A) GATA (Glu-ADT SUBUNIT A)
gatB	<I>Rv3009c</I>	Rv3009c	2	PROBABLE GLUTAMYL-TRNA(GLN) AMIDOTRANSFERASE (SUBUNIT B) GATB (Glu-ADT SUBUNIT B)
