Gene name	Synonym	Accession number	Functional category	Description
aao	<I>Rv1905c</I>	Rv1905c	7	PROBABLE D-AMINO ACID OXIDASE AAO
aceAa	<I>Rv1915</I>	Rv1915	7	PROBABLE ISOCITRATE LYASE aceAa [FIRST PART] (ISOCITRASE) (ISOCITRATASE) (ICL)
aceAb	<I>Rv1916</I>	Rv1916	7	PROBABLE ISOCITRATE LYASE aceAb [SECOND PART] (ISOCITRASE) (ISOCITRATASE) (ICL)
aceE	<I>Rv2241</I>	Rv2241	7	Probable pyruvate dehydrogenase E1 component aceE (PYRUVATE DECARBOXYLASE) (PYRUVATE DEHYDROGENASE) (PYRUVIC DEHYDROGENASE)
ackA	<I>Rv0409</I>	Rv0409	7	PROBABLE ACETATE KINASE ACKA (ACETOKINASE)
acn	<I>Rv1475c</I>	Rv1475c	7	PROBABLE IRON-REGULATED ACONITATE HYDRATASE ACN (Citrate hydro-lyase) (Aconitase)
acyP	<I>Rv2922A</I>	Rv2922A	7	PROBABLE ACYLPHOSPHATASE ACYP (ACYLPHOSPHATE PHOSPHOHYDROLASE)
add	<I>Rv3313c</I>	Rv3313c	7	PROBABLE ADENOSINE DEAMINASE ADD (ADENOSINE AMINOHYDROLASE)
adh	<I>Rv1530</I>	Rv1530	7	Probable alcohol dehydrogenase adh
adhA	<I>Rv1862</I>	Rv1862	7	Probable alcohol dehydrogenase adhA
adhB	<I>Rv0761c</I>	Rv0761c	7	POSSIBLE ZINC-CONTAINING ALCOHOL DEHYDROGENASE NAD DEPENDENT ADHB
adhC	<I>Rv3045</I>	Rv3045	7	PROBABLE NADP-DEPENDENT ALCOHOL DEHYDROGENASE ADHC
adhD	<I>Rv3086</I>	Rv3086	7	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE ADHD (ALDEHYDE REDUCTASE)
adhE1	<I>Rv0162c</I>	Rv0162c	7	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE
adk	<I>Rv0733</I>	Rv0733	7	PROBABLE ADENYLATE KINASE ADK (ATP-AMP TRANSPHOSPHORYLASE)
adoK	<I>Rv2202c</I>	Rv2202c	7	ADENOSINE KINASE
aglA	<I>Rv2471</I>	Rv2471	7	PROBABLE ALPHA-GLUCOSIDASE AGLA (MALTASE) (GLUCOINVERTASE) (GLUCOSIDOSUCRASE) (MALTASE-GLUCOAMYLASE) (LYSOSOMAL ALPHA-GLUCOSIDASE) (ACID MALTASE)
ald	<I>Rv2780</I>	Rv2780	7	SECRETED L-ALANINE DEHYDROGENASE ALD (40 KDA ANTIGEN) (TB43)
aldA	<I>Rv0768</I>	Rv0768	7	PROBABLE ALDEHYDE DEHYDROGENASE NAD DEPENDENT ALDA (ALDEHYDE DEHYDROGENASE [NAD+])
aldC	<I>Rv2858c</I>	Rv2858c	7	PROBABLE ALDEHYDE DEHYDROGENASE ALDC
alr	<I>Rv3423c</I>	Rv3423c	7	ALANINE RACEMASE ALR
amiA1	<I>amiA</I>, <I>Rv3305c</I>	Rv3305c	7	POSSIBLE N-ACYL-L-AMINO ACID AMIDOHYDROLASE AMIA1 (N-ACYL-L-AMINO ACID AMINOHYDROLASE)
amiA2	<I>Rv2363</I>	Rv2363	7	PROBABLE AMIDASE AMIA2 (AMINOHYDROLASE)
amiB1	<I>amiB</I>, <I>Rv3306c</I>	Rv3306c	7	PROBABLE AMIDOHYDROLASE AMIB1 (AMINOHYDROLASE)
amiB2	<I>Rv1263</I>	Rv1263	7	PROBABLE AMIDASE AMIB2 (AMINOHYDROLASE)
amiC	<I>Rv2888c</I>	Rv2888c	7	PROBABLE AMIDASE AMIC (AMINOHYDROLASE)
amiD	<I>Rv3375</I>	Rv3375	7	PROBABLE AMIDASE AMID (ACYLAMIDASE) (ACYLASE)
ansA	<I>Rv1538c</I>	Rv1538c	7	Probable L-aparaginase ansA
aofH	<I>Rv3170</I>	Rv3170	7	PROBABLE FLAVIN-CONTAINING MONOAMINE OXIDASE AOFH (AMINE OXIDASE) (MAO)
apt	<I>Rv2584c</I>	Rv2584c	7	ADENINE PHOSPHORIBOSYLTRANSFERASE APT (APRT) (AMP DIPHOSPHORYLASE) (AMP PYROPHOSPHORYLASE) (TRANSPHOSPHORIBOSIDASE)
arcA	<I>Rv1001</I>	Rv1001	7	PROBABLE ARGININE DEIMINASE ARCA (ADI) (AD) (ARGININE DIHYDROLASE)
argB	<I>Rv1654</I>	Rv1654	7	Probable Acetylglutamate kinase argB
argC	<I>Rv1652</I>	Rv1652	7	PROBABLE N-ACETL-GAMMA-GLUTAMYL-PHOSHATE REDUCTASE ARGC
argD	<I>Rv1655</I>	Rv1655	7	Probable Acetylornithine aminotransferase argD
argF	<I>OTC</I>, <I>Rv1656</I>	Rv1656	7	Probable Ornithine carbamoyltransferase, anabolic ArgF
argG	<I>Rv1658</I>	Rv1658	7	Probable Argininosuccinate synthase argG
argH	<I>Rv1659</I>	Rv1659	7	Probable Argininosuccinate lyase argH
argJ	<I>Rv1653</I>	Rv1653	7	Probable Glutamate n-acetyltransferase argJ
aroA	<I>Rv3227</I>	Rv3227	7	3-PHOSPHOSHIKIMATE 1-CARBOXYVINYLTRANSFERASE AROA (5-ENOLPYRUVYLSHIKIMATE-3-PHOSPHATE SYNTHASE) (EPSP SYNTHASE) (EPSPS)
aroB	<I>Rv2538c</I>	Rv2538c	7	3-DEHYDROQUINATE SYNTHASE AROB
aroD	<I>aroQ</I>, <I>Rv2537c</I>	Rv2537c	7	3-DEHYDROQUINATE DEHYDRATASE AROD (AROQ) (3-DEHYDROQUINASE) (TYPE II DHQASE)
aroE	<I>Rv2552c</I>	Rv2552c	7	PROBABLE SHIKIMATE 5-DEHYDROGENASE AROE (5-DEHYDROSHIKIMATE REDUCTASE)
aroF	<I>aroC</I>, <I>Rv2540c</I>	Rv2540c	7	PROBABLE CHORISMATE SYNTHASE AROF (5-ENOLPYRUVYLSHIKIMATE-3-PHOSPHATE PHOSPHOLYASE)
aroG	<I>Rv2178c</I>	Rv2178c	7	Probable 3-deoxy-D-arabino-heptulosonate 7-phosphate synthase AroG (DAHP synthetase, phenylalanine-repressible)
aroK	<I>Rv2539c</I>	Rv2539c	7	SHIKIMATE KINASE AROK (SK)
asd	<I>Rv3708c</I>	Rv3708c	7	ASPARTATE-SEMIALDEHYDE DEHYDROGENASE ASD (ASA DEHYDROGENASE) (ASADH) (ASPARTIC SEMIALDEHYDE DEHYDROGENASE) (L-ASPARTATE-BETA-SEMIALDEHYDE DEHYDROGENASE)
