Gene name	Synonym	Accession number	Functional category	Description
Rv0031		Rv0031	5	POSSIBLE REMNANT OF A TRANSPOSASE
Rv0094c		Rv0094c	5	CONSERVED HYPOTHETICAL PROTEIN
Rv0095c		Rv0095c	5	CONSERVED HYPOTHETICAL PROTEIN
Rv0336		Rv0336	5	CONSERVED 13E12 REPEAT FAMILY PROTEIN
Rv0393		Rv0393	5	CONSERVED 13E12 REPEAT FAMILY PROTEIN
Rv0397		Rv0397	5	CONSERVED 13E12 REPEAT FAMILY PROTEIN
Rv0515		Rv0515	5	CONSERVED 13E12 REPEAT FAMILY PROTEIN
Rv0605		Rv0605	5	POSSIBLE RESOLVASE
Rv0606		Rv0606	5	POSSIBLE TRANSPOSASE (FRAGMENT)
Rv0741		Rv0741	5	PROBABLE TRANSPOSASE (FRAGMENT)
Rv0755A		Rv0755A	5	PUTATIVE TRANSPOSASE (FRAGMENT)
Rv0795		Rv0795	5	PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT)
Rv0796		Rv0796	5	PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110
Rv0797		Rv0797	5	PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1547
Rv0829		Rv0829	5	POSSIBLE TRANSPOSASE (FRAGMENT)
Rv0850		Rv0850	5	PUTATIVE TRANSPOSASE (FRAGMENT)
Rv0920c		Rv0920c	5	PROBABLE TRANSPOSASE
Rv0921		Rv0921	5	POSSIBLE RESOLVASE
Rv0922		Rv0922	5	POSSIBLE TRANSPOSASE
Rv1034c		Rv1034c	5	PROBABLE TRANSPOSASE (FRAGMENT)
Rv1035c		Rv1035c	5	PROBABLE TRANSPOSASE (FRAGMENT)
Rv1036c		Rv1036c	5	PROBABLE IS1560 TRANSPOSASE (FRAGMENT)
Rv1041c		Rv1041c	5	PROBABLE IS LIKE-2 TRANSPOSASE
Rv1042c		Rv1042c	5	PROBABLE IS LIKE-2 TRANSPOSASE
Rv1047		Rv1047	5	PROBABLE TRANSPOSASE
Rv1054		Rv1054	5	PROBABLE INTEGRASE (FRAGMENT)
Rv1055		Rv1055	5	POSSIBLE INTEGRASE (FRAGMENT)
Rv1128c		Rv1128c	5	CONSERVED HYPOTHETICAL PROTEIN
Rv1148c		Rv1148c	5	CONSERVED HYPOTHETICAL PROTEIN
Rv1149		Rv1149	5	POSSIBLE TRANSPOSASE
Rv1150		Rv1150	5	POSSIBLE TRANSPOSASE (FRAGMENT)
Rv1199c		Rv1199c	5	POSSIBLE TRANSPOSASE
Rv1313c		Rv1313c	5	POSSIBLE TRANSPOSASE
Rv1369c		Rv1369c	5	PROBABLE TRANSPOSASE
Rv1370c		Rv1370c	5	PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT)
Rv1572c		Rv1572c	5	CONSERVED HYPOTHETICAL PROTEIN
Rv1573		Rv1573	5	Probable phiRV1 phage protein
Rv1574		Rv1574	5	Probable phiRV1 phage related protein
Rv1575		Rv1575	5	Probable phiRV1 phage protein
Rv1576c		Rv1576c	5	Probable phiRV1 phage protein
Rv1577c		Rv1577c	5	Probable phiRv1 phage protein
Rv1578c		Rv1578c	5	Probable phiRv1 phage protein
Rv1579c		Rv1579c	5	Probable phiRv1 phage protein
Rv1580c		Rv1580c	5	Probable phiRv1 phage protein
Rv1581c		Rv1581c	5	Probable phiRv1 phage protein
Rv1582c		Rv1582c	5	Probable phiRv1 phage protein
Rv1583c		Rv1583c	5	Probable phiRv1 phage protein
Rv1584c		Rv1584c	5	Possible phiRv1 phage protein
Rv1585c		Rv1585c	5	Possible phage phiRv1 protein
Rv1586c		Rv1586c	5	Probable phiRv1 integrase
Rv1587c		Rv1587c	5	Partial REP13E12 repeat protein
Rv1588c		Rv1588c	5	Partial REP13E12 repeat protein
Rv1701		Rv1701	5	PROBABLE INTEGRASE/RECOMBINASE
Rv1702c		Rv1702c	5	CONSERVED HYPOTHETICAL PROTEIN
Rv1756c		Rv1756c	5	PUTATIVE TRANSPOSASE
Rv1757c		Rv1757c	5	PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT)
Rv1763		Rv1763	5	PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT)
Rv1764		Rv1764	5	PUTATIVE TRANSPOSASE
Rv1765A		Rv1765A	5	PUTATIVE TRANSPOSASE (FRAGMENT)
Rv1945		Rv1945	5	CONSERVED HYPOTHETICAL PROTEIN
Rv2013		Rv2013	5	POSSIBLE TRANSPOSASE
Rv2014		Rv2014	5	POSSIBLE TRANSPOSASE
Rv2085		Rv2085	5	CONSERVED HYPOTHETICAL PROTEIN
Rv2086		Rv2086	5	CONSERVED HYPOTHETICAL PROTEIN
Rv2087		Rv2087	5	CONSERVED HYPOTHETICAL PROTEIN
Rv2100		Rv2100	5	CONSERVED HYPOTHETICAL PROTEIN
Rv2105		Rv2105	5	PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT)
Rv2106		Rv2106	5	PROBABLE TRANSPOSASE
Rv2167c		Rv2167c	5	PROBABLE TRANSPOSASE
Rv2168c		Rv2168c	5	PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT)
Rv2177c		Rv2177c	5	POSSIBLE TRANSPOSASE
Rv2278		Rv2278	5	PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT)
Rv2279		Rv2279	5	PROBABLE TRANSPOSASE
Rv2309c		Rv2309c	5	POSSIBLE INTEGRASE (FRAGMENT)
Rv2310		Rv2310	5	POSSIBLE EXCISIONASE
Rv2354		Rv2354	5	PROBABLE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT)
Rv2355		Rv2355	5	PROBABLE TRANSPOSASE
Rv2424c		Rv2424c	5	PROBABLE TRANSPOSASE
Rv2479c		Rv2479c	5	PROBABLE TRANSPOSASE
Rv2480c		Rv2480c	5	POSSIBLE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT)
